пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
M,22.32.4,7.50.6,26.55.1,15.34.11,16.39.6,30777
M,22.57.4,8.13.6,27.16.1,14.39.11,18.55.6,30624
M,21.18.4,8.20.6,21.49.1,12.36.11,17.19.6,25289
M,24.4.4,10.21.6,26.43.1,10.27.11,0.54.7,27683
M,21.56.4,9.31.6,19.57.1,7.45.11,22.19.6,28477
M,21.58.4,9.33.6,19.55.1,7.35.11,22.26.6,30479
F,21.26.4,8.42.6,21.9.1,11.14.11,19.2.6,31395
M,21.44.4,9.15.6,20.18.1,8.59.11,21.23.6,27426
M,22.13.4,9.48.6,19.39.1,6.12.11,23.3.6,25896
M,24.30.4,12.20.6,23.52.1,11.36.11,16.51.7,26334
F,24.11.4,9.55.6,27.3.1,11.6.11,28.24.6,25908
M,22.24.4,9.57.6,19.31.1,5.11.11,23.15.6,6418
M,22.19.4,7.41.6,26.40.1,15.55.11,15.39.6,23035
F,24.10.4,9.52.6,27.4.1,11.10.11,28.10.6,26675
F,22.2.4,7.31.6,26.13.1,16.16.11,14.30.6,29673
F,22.14.4,9.49.6,19.38.1,6.4.11,23.5.6,29949
M,22.24.4,9.57.6,19.31.1,5.9.11,23.15.6,27353
M,22.0.4,7.29.6,26.9.1,16.18.11,14.22.6,29199
M,21.23.4,8.35.6,21.21.1,11.41.11,18.30.6,29935
M,23.50.4,9.19.6,27.20.1,12.12.11,25.2.6,22398
M,21.33.4,7.24.6,25.1.1,16.14.11,13.18.6,25297
F,21.14.4,7.48.6,23.7.1,14.36.11,14.42.6,28908
M,24.23.4,12.23.6,23.43.1,12.9.11,17.58.7,24963
M,21.18.4,8.21.6,21.48.1,12.35.11,17.21.6,23187
M,24.42.4,11.15.6,25.47.1,9.44.11,6.29.7,13087
M,24.6.4,9.45.6,27.8.1,11.22.11,27.30.6,27853
M,22.7.4,9.42.6,19.45.1,6.45.11,22.51.6,21565
F,24.42.4,12.4.6,24.30.1,10.23.11,13.11.7,24933
M,22.53.4,8.9.6,27.13.1,14.49.11,18.30.6,27771
M,21.39.4,9.6.6,20.31.1,9.37.11,20.48.6,23456
M,24.31.4,12.19.6,23.55.1,11.29.11,16.35.7,24401
F,24.44.4,11.24.6,25.34.1,9.43.11,7.36.7,30315
F,21.35.4,9.0.6,20.40.1,10.5.11,20.21.6,25626
F,22.16.4,9.51.6,19.36.1,5.51.11,23.9.6,26279
M,21.34.4,8.58.6,20.42.1,10.11.11,20.15.6,31196
M,23.59.4,12.19.6,23.28.1,14.12.11,20.54.7,22210
M,21.15.4,7.44.6,23.20.1,14.52.11,14.24.6,24566
M,22.59.4,8.15.6,27.17.1,14.34.11,19.8.6,28420
M,24.46.4,11.38.6,25.15.1,9.47.11,9.15.7,28990
M,24.14.4,12.23.6,23.34.1,12.56.11,19.18.7,19974
M,22.55.4,8.11.6,27.15.1,14.43.11,18.46.6,26659
M,24.24.4,10.21.6,26.43.1,10.27.11,0.54.7,28994
M,22.7.4,7.33.6,26.22.1,16.11.11,14.50.6,26185
M,21.17.4,8.15.6,22.0.1,12.56.11,16.54.6,17394
M,21.26.4,7.27.6,24.35.1,16.0.11,13.20.6,28972
M,24.39.4,11.1.6,26.3.1,9.49.11,5.0.7,17923
F,23.18.4,8.36.6,27.24.1,13.44.11,21.8.6,24838
M,21.15.4,7.44.6,23.19.1,14.51.11,14.25.6,27017
M,24.10.4,9.53.6,27.4.1,11.9.11,28.13.6,21827
M,21.59.4,7.29.6,26.7.1,16.18.11,14.19.6,29235
F,21.38.4,9.5.6,20.33.1,9.43.11,20.43.6,15384
M,21.32.4,8.55.5,20.48.1,10.24.11,20.0.6,24537
M,21.17.4,8.17.6,21.55.1,12.48.11,17.4.6,31110
M,21.38.4,9.5.6,20.32.1,9.43.11,20.43.6,26395
M,21.36.4,7.24.6,25.12.1,16.18.11,13.22.6,29980
F,24.30.4,12.20.6,23.53.1,11.35.11,16.47.7,30019
M,22.9.4,9.44.6,19.43.1,6.35.11,22.55.6,18736
M,21.26.4,8.41.6,21.10.1,11.17.11,18.59.6,30913
M,21.14.4,7.48.6,23.7.1,14.36.11,14.42.6,22521
M,22.14.4,9.49.6,19.38.1,6.6.11,23.5.6,30665
M,24.44.4,12.0.6,24.38.1,10.12.11,12.25.7,14786
M,24.35.4,12.17.6,24.3.1,11.9.11,15.44.7,27842
M,24.4.4,9.42.6,27.10.1,11.27.11,27.13.6,28332
M,21.57.4,7.28.6,26.4.1,16.19.11,14.13.6,25553
M,22.7.4,7.33.6,26.21.1,16.11.11,14.47.6,30395
M,21.53.4,7.27.6,25.56.1,16.21.11,14.0.6,28013
M,24.23.4,12.23.6,23.42.1,12.11.11,18.2.7,23728
M,24.26.4,12.22.6,23.47.1,11.53.11,17.27.7,28159
M,24.17.4,12.23.6,23.37.1,12.39.11,18.50.7,20840
M,24.35.4,10.48.6,26.18.1,9.59.11,3.34.7,30902
M,23.3.4,8.19.6,27.19.1,14.24.11,19.31.6,25511
M,21.21.4,8.29.6,21.33.1,12.6.11,17.59.6,29547
M,20.5.4,5.18.6,20.22.1,4.31.11,13.9.5,22352
F,21.29.4,5.52.6,23.10.1,2.47.11,22.31.5,29894
M,23.27.4,9.20.6,21.18.1,28.18.10,14.8.6,22582
F,21.4.4,5.31.6,22.46.1,3.46.11,19.34.5,14327
M,20.14.4,6.38.6,16.59.1,0.9.11,15.21.5,29048
M,20.22.4,6.54.6,16.35.1,29.10.10,16.29.5,31369
M,23.15.4,10.6.6,19.55.1,0.25.11,20.24.6,24990
M,23.14.4,10.7.6,19.53.1,0.31.11,20.33.6,18529
M,23.25.4,9.51.6,20.27.1,29.12.10,17.56.6,30064
M,20.30.4,7.5.6,16.18.1,28.21.10,17.27.5,27438
M,23.26.4,9.18.6,21.20.1,28.16.10,13.56.6,30149
M,20.24.4,6.56.6,16.32.1,29.0.10,16.41.5,9259
F,23.25.4,9.51.6,20.27.1,29.12.10,17.56.6,31185
M,22.45.4,7.31.6,23.6.1,29.15.10,3.6.6,28757
M,20.43.4,5.18.6,22.15.1,4.24.11,17.13.5,26476
M,22.49.4,7.37.6,23.2.1,29.6.10,3.43.6,30497
M,19.58.4,5.35.6,19.15.1,3.41.11,12.36.5,28600
M,20.1.4,6.7.6,17.58.1,2.0.11,13.29.5,31483
M,22.57.4,10.11.6,19.31.1,2.15.11,22.23.6,9914
M,20.16.4,6.43.6,16.52.1,29.52.10,15.41.5,25180
M,20.16.4,5.12.6,21.10.1,4.45.11,14.20.5,25579
M,22.1.4,6.27.6,23.23.1,1.17.11,26.40.5,27870
M,22.3.4,6.29.6,23.23.1,1.12.11,26.53.5,15954
M,19.59.4,5.56.6,18.20.1,2.34.11,13.3.5,16900
F,19.59.4,5.56.6,18.21.1,2.35.11,13.2.5,29908
M,20.12.4,6.35.6,17.4.1,0.21.11,15.8.5,31969
M,22.56.4,10.11.6,19.31.1,2.17.11,22.24.6,11527
M,21.33.4,5.56.6,23.13.1,2.36.11,23.1.5,25035
M,19.58.4,5.35.6,19.16.1,3.42.11,12.36.5,21692
M,20.35.4,7.11.6,16.10.1,27.54.10,17.58.5,27564
M,23.3.4,10.11.6,19.36.1,1.40.11,21.54.6,29368
M,23.27.4,9.36.6,20.53.1,28.37.10,15.59.6,29275
F,20.10.4,6.30.6,17.14.1,0.41.11,14.45.5,27605
M,21.37.4,6.0.6,23.15.1,2.25.11,23.30.5,30408
M,22.13.4,6.41.6,23.23.1,0.46.11,28.10.5,2125
M,20.13.4,6.37.6,17.2.1,0.15.11,15.14.5,26131
M,23.27.4,9.35.6,20.54.1,28.37.10,15.55.6,27202
M,22.53.4,7.44.6,22.57.1,28.56.10,4.26.6,22647
M,23.23.4,9.1.6,21.43.1,28.8.10,12.5.6,28435
M,23.18.4,10.3.6,20.2.1,0.3.11,19.48.6,14514
M,23.7.4,10.10.6,19.41.1,1.14.11,21.28.6,28160
M,23.12.4,10.8.6,19.48.1,0.45.11,20.53.6,31712
F,21.29.4,5.52.6,23.11.1,2.45.11,22.36.5,24418
M,20.33.4,7.9.6,16.13.1,28.3.10,17.48.5,10126
F,19.57.4,5.43.6,18.53.1,3.17.11,12.41.5,29041
F,23.17.4,10.4.6,19.59.1,0.11.11,20.2.6,29031
F,23.2.4,8.3.6,22.43.1,28.34.10,6.16.6,11196
M,23.21.4,8.52.6,21.54.1,28.7.10,11.8.6,22334
M,21.30.4,5.53.6,23.11.1,2.42.11,22.43.5,25583
M,20.57.4,5.26.6,22.38.1,3.58.11,18.53.5,30150
F,19.59.4,5.56.6,18.21.1,2.35.11,13.2.5,27113
M,22.16.4,6.46.6,23.22.1,0.35.11,28.40.5,17330
M,20.29.4,7.3.6,16.21.1,28.29.10,17.18.5,24080
M,22.37.4,7.16.6,23.13.1,29.38.10,1.41.6,27752
M,23.8.4,10.10.6,19.42.11,1.11.11,21.24.6,29634
M,21.1.4,7.39.6,15.37.1,25.26.10,20.33.5,9790
F,19.59.4,5.56.6,18.20.1,2.34.11,13.3.5,27591
F,20.29.4,5.13.6,21.45.1,4.41.11,15.39.5,21946
M,20.30.4,5.13.6,21.47.1,4.40.11,15.47.5,26151
M,20.28.4,5.13.6,21.43.1,4.41.11,15.36.5,22934
M,19.57.4,5.40.6,18.59.1,3.24.11,12.39.5,27557
M,22.51.4,10.10.6,19.29.1,2.44.11,22.42.6,26763
M,22.12.4,6.41.6,23.23.1,0.47.11,28.6.5,30420
M,20.9.4,6.29.6,17.16.1,0.44.11,14.43.5,31041
M,23.26.4,9.49.6,20.32.1,29.5.10,17.35.6,30288
F,19.58.4,5.32.6,19.25.1,3.50.11,12.37.5,24763
M,19.59.4,5.28.6,19.37.1,4.0.11,12.39.5,13685
M,19.57.4,5.41.6,18.57.1,3.21.11,12.40.5,30082
F,20.37.4,5.15.6,22.3.1,4.32.11,16.34.5,27994
M,22.24.4,6.57.6,23.20.1,0.14.11,29.45.5,27289
M,20.20.4,6.50.6,16.40.1,29.24.10,16.14.5,31467
M,22.47.4,10.9.6,19.27.1,3.6.11,22.53.6,22335
F,20.59.4,7.37.6,15.39.1,25.37.10,20.23.5,19703
F,23.22.4,9.57.6,20.15.1,29.34.10,18.51.6,23605
M,20.10.4,6.30.6,17.14.1,0.40.11,14.47.5,23742
M,19.59.4,5.58.6,18.17.1,2.30.11,13.6.5,27872
F,20.49.4,7.28.6,15.49.1,26.32.10,19.28.5,22113
M,21.11.4,7.47.6,15.31.1,24.30.10,21.19.5,31239
M,20.6.4,5.16.6,20.28.1,4.34.11,13.16.5,3882
M,23.15.4,8.33.6,22.15.1,28.11.10,9.16.6,26028
F,20.36.4,7.14.6,16.7.1,27.43.10,18.11.5,19249
M,23.4.4,10.11.6,19.38.1,1.32.11,21.47.6,26661
M,23.27.4,9.31.6,9.31.6,21.1.1,28.31.10,27234
M,23.24.4,9.2.6,21.42.1,28.8.10,12.10.6,29480
M,20.5.4,6.18.6,17.36.1,1.23.11,14.3.5,22963
F,23.27.4,9.43.6,20.42.1,28.51.10,16.50.6,29055
M,21.5.4,5.31.6,22.47.1,3.43.11,19.42.5,24230
M,20.6.4,6.22.6,17.28.1,1.9.11,14.17.5,23690
M,23.26.4,9.12.6,21.28.1,28.12.10,13.17.6,30992
F,20.44.4,7.22.6,15.56.1,27.2.10,18.57.5,20070
M,22.14.4,6.44.6,23.23.1,0.40.11,28.25.5,18916
M,20.41.4,7.20.6,15.59.1,27.15.10,18.42.5,26423
M,20.44.4,5.19.6,22.17.1,4.22.11,17.21.5,25602
M,20.5.4,5.18.6,20.21.1,4.31.11,13.9.5,28562
M,22.46.4,7.32.6,23.5.1,29.12.10,3.16.6,30454
M,23.11.4,10.9.6,19.47.1,0.52.11,21.2.6,25853
M,20.3.4,5.20.6,20.10.1,4.25.11,12.58.5,21156
F,23.26.4,9.46.6,20.37.1,28.58.10,17.14.6,22175
M,19.57.4,5.37.6,19.9.1,3.35.11,12.37.5,21427
M,22.53.4,7.44.6,22.57.1,28.55.10,4.28.6,15403
M,23.2.4,10.11.6,19.36.1,1.42.11,21.56.6,27380
M,22.50.4,10.10.6,19.28.1,2.49.11,22.45.6,31005
M,23.10.4,8.19.6,22.29.1,28.20.10,7.51.6,29780
M,20.50.4,5.22.6,22.26.1,4.13.11,17.59.5,31006
M,20.15.4,6.40.6,16.56.1,0.2.11,15.29.5,29893
M,22.37.4,10.5.6,19.27.1,4.3.11,23.11.6,29513
M,23.27.4,9.33.6,20.58.1,28.33.10,15.37.6,17759
M,20.50.4,5.22.6,22.27.1,4.12.11,18.1.5,31254
M,20.59.4,7.38.6,15.39.1,25.36.10,20.24.5,31365
M,23.14.4,8.31.6,22.17.1,28.12.10,9.4.6,27889
M,20.18.4,5.12.6,21.16.1,4.46.11,14.32.5,30407
M,22.5.4,6.31.6,23.24.1,1.8.11,27.5.5,27758
M,19.58.4,5.33.6,19.22.1,3.47.11,12.36.5,27192
M,23.14.4,8.29.6,22.19.1,28.14.10,8.51.6,27357
M,22.59.4,10.11.6,19.33.1,2.3.11,22.14.6,29817
M,19.57.4,5.43.6,18.52.1,3.15.11,12.41.5,26106
M,22.40.4,7.21.6,23.11.1,29.30.10,2.11.6,30210
M,20.40.4,7.18.6,16.1.1,27.22.10,18.35.5,27470
M,20.30.4,5.13.6,21.48.1,4.40.11,15.49.5,29185
M,20.5.4,5.18.6,20.21.1,4.31.11,13.9.5,29999
M,19.57.4,5.43.6,18.52.1,3.16.11,12.41.5,28528
M,20.17.4,6.44.6,16.51.1,29.49.10,15.44.5,28309
M,23.26.4,9.45.6,20.39.1,28.55.10,17.5.6,20952
M,21.47.4,6.11.6,23.20.1,1.56.11,24.51.5,27983
M,22.29.4,7.5.6,23.18.1,29.59.10,0.32.6,26466
M,19.58.4,5.33.6,19.19.1,3.45.11,12.36.5,31879
M,20.4.4,5.18.6,20.19.1,4.30.11,13.7.5,31606
M,20.15.4,5.12.6,21.5.1,4.45.11,14.10.5,28345
M,22.3.4,6.29.6,23.23.1,1.13.11,26.51.5,31034
M,22.8.4,6.36.6,23.23.1,0.57.11,27.35.5,12543
M,20.15.4,6.40.6,16.56.1,0.3.11,15.29.5,31748
M,20.2.4,6.10.6,17.51.1,1.49.11,13.38.5,27302
M,21.12.4,7.48.6,15.30.1,24.26.10,21.23.5,6150
M,22.59.4,7.56.6,22.49.1,28.42.10,5.34.6,27759
M,23.27.4,9.19.6,21.19.1,28.17.10,14.2.6,22747
F,19.59.4,5.27.6,19.42.1,4.5.11,12.41.5,19843
M,23.24.4,9.53.6,20.24.1,29.17.10,18.9.6,9148
M,19.57.4,5.39.6,19.4.1,3.29.11,12.38.5,31800
M,23.26.4,9.13.6,21.27.1,28.13.10,13.24.6,23073
M,20.56.4,7.35.6,15.42.1,25.54.10,20.7.5,21943
M,21.23.4,5.46.6,23.6.1,3.1.11,21.49.5,19059
M,19.57.4,5.40.6,19.0.1,3.25.11,12.39.5,25774
M,20.35.4,7.11.6,16.10.1,27.55.10,17.58.5,30739
M,23.27.4,9.40.6,20.47.1,28.44.10,16.26.6,23034
M,19.59.4,5.29.6,19.32.1,3.57.11,12.38.5,31788
M,20.13.4,5.13.6,20.58.1,4.44.11,13.58.5,26231
M,21.16.4,7.50.6,15.28.1,24.3.10,21.39.5,25179
M,20.50.4,5.22.6,22.27.1,4.12.11,18.1.5,25366
M,20.43.4,5.18.6,22.15.1,4.23.11,17.17.5,15369
M,23.11.4,8.22.6,22.26.1,28.18.10,8.10.6,27961
M,20.34.4,7.11.6,16.11.1,27.58.10,17.54.5,24207
M,23.7.4,10.10.6,19.41.1,1.13.11,21.27.6,30650
F,21.15.4,5.40.6,22.59.1,3.19.11,20.56.5,26918
M,23.18.4,10.3.6,20.1.1,0.5.11,19.52.6,27820
F,23.26.4,9.14.6,21.26.1,28.13.10,13.28.6,31305
M,21.18.4,5.42.6,23.1.1,3.13.11,21.14.5,26812
M,20.52.4,5.23.6,22.30.1,4.9.11,18.14.5,29504
M,22.35.4,7.13.6,23.15.1,29.44.10,1.23.6,31405
M,20.1.4,6.4.6,18.2.1,2.8.11,13.23.5,23733
M,23.27.4,9.26.6,21.8.1,28.24.10,14.52.6,25092
M,21.13.4,7.49.6,15.29.1,24.16.10,21.30.5,30110
M,23.15.4,10.6.6,19.55.1,0.24.11,20.23.6,17174
M,20.43.4,7.22.6,15.57.1,27.5.10,18.54.5,27477
M,22.11.4,6.40.6,23.23.1,0.49.11,28.0.5,29719
M,19.58.4,5.33.6,19.19.1,3.45.11,12.36.5,28620
M,20.12.4,6.35.6,17.5.1,0.21.11,15.8.5,31509
F,20.25.4,6.58.6,16.29.1,28.53.10,16.49.5,21271
F,20.37.4,5.15.6,22.2.1,4.33.11,16.32.5,30859
M,23.3.4,8.4.6,22.43.1,28.33.10,6.20.6,16880
F,21.8.4,5.34.6,22.51.1,3.36.11,20.7.5,25327
M,20.26.4,5.12.6,21.39.1,4.43.11,15.25.5,29919
M,20.15.4,5.12.6,21.7.1,4.45.11,14.14.5,31291
M,21.18.4,7.51.6,15.28.1,23.52.10,21.46.5,27339
F,23.23.4,8.58.6,21.46.1,28.7.10,11.49.6,18785
F,22.46.4,10.9.6,19.27.1,3.15.11,22.57.6,30276
M,19.57.4,5.39.6,19.3.1,3.28.11,12.38.5,22076
M,23.27.4,9.41.6,20.45.1,28.47.10,16.35.6,29385
M,20.52.4,5.23.6,22.29.1,4.9.11,18.12.5,25740
M,20.25.4,5.12.6,21.35.1,4.44.11,15.14.5,31525
M,23.27.4,9.42.6,20.43.1,28.49.10,16.44.6,21873
M,20.1.4,6.5.6,18.1.1,2.5.11,13.25.5,9725
F,23.27.4,9.36.6,20.53.1,28.38.10,16.2.6,11064
M,23.20.4,8.49.6,21.58.1,28.7.10,10.51.6,27498
M,22.20.4,6.52.6,23.21.1,0.24.11,29.13.5,23049
M,23.22.4,8.55.6,21.51.1,28.7.10,11.26.6,30755
M,22.41.4,10.7.6,19.27.1,3.37.11,23.5.6,21025
M,20.7.4,5.16.6,20.33.1,4.36.11,13.22.5,25529
M,22.44.4,7.28.6,23.7.1,29.18.10,2.53.6,25298
M,23.27.4,9.24.6,21.11.1,28.22.10,14.38.6,21755
M,21.11.4,7.47.6,15.30.1,24.29.10,21.20.5,21670
F,19.57.4,5.42.6,18.55.1,3.19.11,12.40.5,30952
M,19.58.4,5.31.6,19.26.1,3.51.11,12.37.5,21829
M,20.35.4,5.15.6,21.59.1,4.35.11,16.20.5,23764
M,23.27.4,9.18.6,21.20.1,28.16.10,13.58.6,21351
M,23.20.4,10.0.6,20.8.1,29.48.10,19.20.6,25946
M,23.15.4,8.32.6,22.16.1,28.12.10,9.9.6,28015
M,21.49.4,6.13.6,23.21.1,1.51.11,25.4.5,31403
M,23.22.4,9.57.6,20.15.1,29.35.10,18.52.6,28663
F,21.8.4,5.34.6,22.51.1,3.36.11,20.4.5,25287
M,19.58.4,5.52.6,18.30.1,2.48.11,12.54.5,28723
M,20.31.4,5.14.6,21.51.1,4.38.11,15.58.5,28478
F,22.37.4,10.5.6,19.27.1,3.59.11,23.11.6,19126
M,21.42.4,6.5.6,23.18.1,2.11.11,24.11.5,26769
M,21.55.4,6.20.6,23.22.1,1.35.11,25.48.5,22608
M,22.15.4,6.45.6,23.23.1,0.38.11,28.31.5,23657
F,19.58.4,5.32.6,19.25.1,3.50.11,12.37.5,21372
M,19.58.4,5.32.6,19.24.1,3.50.11,12.37.5,30406
M,20.26.4,6.59.6,16.28.1,28.49.10,16.54.5,24103
M,20.6.4,5.16.6,20.30.1,4.35.11,13.19.5,24505
M,23.22.4,9.58.6,20.14.1,29.37.10,18.56.6,20760
M,22.53.4,10.11.6,19.30.1,2.34.11,22.36.6,30849
M,22.7.4,6.34.6,23.24.1,1.2.11,27.23.5,31154
M,22.57.4,10.11.6,19.32.1,2.10.11,22.20.6,20630
M,21.10.4,5.35.6,22.53.1,3.33.11,20.16.5,29279
M,20.26.4,5.12.6,21.38.1,4.43.11,15.21.5,27455
M,22.31.4,7.8.6,23.17.1,29.54.10,0.49.6,24195
M,23.11.4,8.23.6,22.26.1,28.17.10,8.13.6,27171
M,23.10.4,8.21.6,22.27.1,28.19.10,8.2.6,29033
M,20.33.4,7.9.6,16.13.1,28.3.10,17.48.5,29265
M,19.57.4,5.40.6,19.1.1,3.26.11,12.38.5,19992
F,20.13.4,6.36.6,17.4.1,0.19.11,15.11.5,28879
M,21.51.4,6.14.6,23.21.1,1.48.11,25.14.5,28775
M,21.23.4,5.47.6,23.6.1,2.59.11,21.54.5,25386
M,20.37.4,7.15.6,16.5.1,27.38.10,18.17.5,25124
M,22.1.4,6.27.6,23.23.1,1.19.11,26.35.5,24171
M,22.41.4,7.23.6,23.10.1,29.27.10,2.21.6,21631
M,19.59.4,5.30.6,19.31.1,3.56.11,12.38.5,23608
M,22.51.4,10.10.6,19.29.1,2.43.11,22.41.6,28011
M,20.33.4,7.10.6,16.12.1,28.2.10,17.50.5,19251
M,20.0.4,6.2.6,18.7.1,2.15.11,13.17.5,28074
M,23.7.4,10.10.6,19.41.1,1.14.11,21.27.6,28220
M,21.54.4,6.18.6,23.22.1,1.38.11,25.41.5,25744
M,22.39.4,10.6.6,19.28.1,3.53.11,23.9.6,30866
M,20.32.4,5.14.6,21.54.1,4.37.11,16.5.5,29139
M,23.16.4,8.36.6,22.13.1,28.10.10,9.29.6,22888
M,23.25.4,9.51.6,20.28.1,29.11.10,17.52.6,26609
F,23.25.4,9.9.6,21.32.1,28.11.110,12.59.6,21512
M,21.34.4,5.57.6,23.14.1,2.32.11,23.11.5,31258
M,20.35.4,5.15.6,22.0.1,4.34.11,16.23.5,27073
M,20.0.4,5.25.6,19.47.1,4.9.11,12.43.5,26898
M,20.57.4,7.36.6,15.41.1,25.49.10,20.12.5,27387
M,21.59.4,6.24.6,23.23.1,1.25.11,26.16.5,28673
M,22.39.4,10.6.6,19.27.1,3.53.11,23.9.6,30866
M,21.48.4,6.12.6,23.20.1,1.54.11,24.56.5,30938
M,23.25.4,9.50.6,20.29.1,29.9.10,17.48.6,23126
M,20.0.4,5.25.6,19.50.1,4.11.11,12.45.5,28082
M,21.11.4,4.53.6,19.15.1,16.53.10,5.49.5,7242
M,21.57.4,7.55.6,15.49.1,19.52.10,22.19.5,24875
M,19.55.4,5.34.6,11.32.1,14.14.10,15.38.4,21515
M,21.36.4,7.59.6,15.28.1,22.9.10,22.32.5,17264
M,21.29.4,5.22.6,19.1.1,17.4.10,8.39.5,31411
M,18.46.4,3.54.6,14.5.1,21.20.10,10.32.4,28254
M,18.43.4,3.16.6,15.41.1,22.55.10,12.27.4,29566
M,19.5.4,3.0.6,17.34.1,23.7.10,17.30.4,24054
M,21.49.4,6.2.6,18.29.1,16.43.10,12.22.5,30276
M,19.39.4,3.14.6,18.40.1,22.1.10,22.41.4,27133
M,18.42.4,3.38.6,14.40.1,22.3.10,10.58.4,27975
M,21.46.4,5.55.6,18.36.1,16.46.10,11.43.5,30562
M,21.32.4,7.57.6,15.27.1,22.33.10,22.25.5,30777
M,18.51.4,3.3.6,16.40.1,23.16.10,14.40.4,22007
M,19.13.4,3.1.6,17.53.1,22.56.10,18.45.4,28338
F,21.54.4,6.13.6,18.19.1,16.40.10,13.19.5,26926
M,19.24.4,5.4.6,12.7.1,17.9.10,12.29.4,30674
M,21.36.4,7.59.6,15.28.1,22.6.10,22.32.5,25392
M,19.13.4,3.1.6,17.52.1,22.57.10,18.41.4,28575
M,21.36.4,5.35.6,18.52.1,17.1.10,9.55.5,30409
M,18.42.4,3.38.6,14.41.1,22.4.10,10.59.4,25691
M,20.32.4,4.2.6,19.21.1,19.37.10,0.9.5,28266
M,19.44.4,5.25.6,11.41.1,15.18.10,14.26.4,26970
F,18.43.4,3.15.6,15.47.1,22.58.10,12.39.4,25736
M,21.19.4,7.52.6,15.27.1,23.45.10,21.50.5,31822
M,19.12.4,4.48.6,12.30.1,18.17.10,11.30.4,21188
M,18.57.4,3.0.6,17.7.1,23.16.10,15.59.4,24478
M,21.51.4,6.6.6,18.25.1,16.41.10,12.46.5,19825
M,19.16.4,3.2.6,17.59.1,22.51.10,19.13.4,12590
M,21.37.4,5.37.6,18.51.1,16.59.10,10.2.5,24695
M,20.11.4,3.40.6,19.12.1,20.36.10,27.12.4,16770
M,21.54.4,7.57.6,15.44.1,20.14.10,22.28.5,31858
M,19.1.4,3.0.6,17.21.1,23.12.10,16.45.4,32059
M,19.8.4,3.0.6,17.41.1,23.3.10,17.59.4,28042
F,20.9.4,3.38.6,19.10.1,20.42.10,26.55.4,26010
M,19.14.4,4.51.6,12.25.1,18.5.10,11.40.4,32390
M,22.8.4,6.59.6,17.24.1,16.57.10,17.27.5,24853
M,19.42.4,3.16.6,18.44.1,21.52.10,23.12.4,30365
F,18.44.4,3.13.6,15.53.1,23.1.10,12.50.4,30502
M,22.10.4,7.19.6,16.56.1,17.27.10,19.13.5,27563
M,21.59.4,6.28.6,18.3.1,16.39.10,14.40.5,27773
M,21.45.4,7.59.6,15.33.1,21.12.10,22.38.5,20378
M,19.59.4,5.37.6,11.30.1,13.51.10,16.5.4,21912
M,22.6.4,7.44.6,16.14.1,18.38.10,21.20.5,31869
M,19.56.4,3.26.6,18.59.1,21.18.10,25.4.4,30544
M,20.0.4,3.30.6,19.3.1,21.6.10,25.39.4,18592
M,22.10.4,7.20.6,16.55.1,17.28.10,19.16.5,29877
F,18.43.4,3.16.6,15.43.1,22.56.10,12.30.4,16552
M,21.26.4,5.17.6,19.3.1,17.19.10,8.12.5,27438
M,19.54.4,5.34.6,11.33.1,14.18.10,15.34.4,28906
M,20.9.4,3.38.6,19.11.1,20.40.10,27.0.4,32078
M,22.6.4,6.51.6,17.35.1,16.50.10,16.45.5,23222
M,21.29.4,5.22.6,19.1.1,17.14.10,8.38.5,14451
M,19.26.4,5.8.6,12.2.1,16.52.10,12.45.4,29298
M,19.33.4,5.15.6,11.53.1,16.17.10,13.22.4,12377
F,22.10.4,7.16.6,17.0.1,17.21.10,18.57.5,30929
M,22.3.4,6.38.6,17.52.1,16.42.10,15.34.5,31012
M,20.10.4,3.39.6,19.11.1,20.37.10,27.9.4,21169
M,19.35.4,5.17.6,11.50.1,16.3.10,13.36.4,24553
M,21.29.4,7.57.6,15.26.1,22.46.10,22.20.5,26292
M,18.56.4,4.20.6,13.15.1,20.0.10,10.34.4,31539
F,22.10.4,7.13.6,17.6.1,17.15.10,18.38.5,22730
M,20.44.4,4.16.6,19.23.1,19.5.10,1.46.5,31610
F,21.21.4,7.53.6,15.27.1,23.35.10,21.56.5,26562
M,19.13.4,4.50.6,12.27.1,18.9.10,11.36.4,9000
M,21.23.4,7.54.6,15.27.1,23.22.10,22.3.5,22983
M,19.28.4,3.7.6,18.22.1,22.27.10,21.2.4,21694
M,19.20.4,5.0.6,12.12.1,17.27.10,12.13.4,27998
M,21.40.4,5.42.6,18.46.1,16.55.10,10.32.5,15424
M,19.21.4,5.1.6,12.11.1,17.22.10,12.17.4,31796
F,21.32.4,5.28.6,18.57.1,17.8.10,9.12.5,30295
M,20.29.4,3.58.6,19.20.1,19.46.10,29.42.4,18248
M,19.9.4,4.45.6,12.35.1,18.31.10,11.20.4,27018
M,22.1.4,6.32.6,17.58.1,16.40.10,15.3.5,29943
M,22.3.4,7.49.6,16.4.1,19.4.10,21.46.5,25754
F,22.10.4,7.20.6,16.55.1,17.27.10,19.14.5,19187
M,22.10.4,7.17.6,17.0.1,17.21.10,18.58.5,29030
M,18.50.4,3.4.6,16.37.1,23.16.10,14.34.4,26121
M,21.2.4,4.40.6,19.20.1,18.16.10,4.27.5,20772
M,19.5.4,4.38.6,12.45.1,18.56.10,11.4.4,30334
F,22.2.4,6.37.6,17.52.1,16.42.10,15.30.5,30420
