пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
F,28.45.4,18.27.6,7.16.2,15.54.12,24.49.9,28529
M,25.9.4,14.32.6,4.30.2,17.6.12,24.26.9,24345
M,25.55.4,16.13.6,1.48.2,9.23.12,18.12.9,27078
M,25.11.4,14.19.6,5.7.2,18.15.12,24.19.9,28297
M,25.27.4,15.33.6,2.36.2,12.29.12,21.56.9,25778
F,27.33.4,15.26.6,9.35.2,21.24.12,14.35.9,14434
M,26.23.4,16.37.6,1.33.2,7.5.12,14.13.9,28887
M,27.24.4,15.15.6,9.33.2,21.42.12,14.40.9,13261
M,28.1.4,16.8.6,9.30.2,20.7.12,15.6.9,29946
M,25.18.4,14.6.6,5.58.2,19.40.12,23.35.9,26071
M,28.5.4,18.57.6,5.44.2,17.8.12,6.0.10,15649
M,25.32.4,13.59.6,6.55.2,21.0.12,22.2.9,20588
M,25.41.4,15.56.6,2.6.2,10.45.12,20.2.9,23449
F,28.4.4,18.57.6,5.43.2,17.11.12,6.13.10,29247
F,25.15.4,14.10.6,5.41.2,19.13.12,23.54.9,28687
M,26.34.4,16.42.6,1.34.2,6.16.12,12.27.9,22428
M,28.45.4,18.21.6,7.25.2,15.59.12,24.6.9,24612
M,25.9.4,14.31.6,4.35.2,17.14.12,24.26.9,20892
M,28.3.4,18.57.6,5.43.2,17.13.12,6.18.10,22349
M,25.55.4,16.13.6,1.49.2,9.25.12,18.15.9,28100
M,27.14.4,15.4.6,9.29.2,21.59.12,14.51.9,29133
M,28.25.4,15.53.6,9.5.2,18.32.12,16.51.9,25944
M,28.28.4,18.55.6,6.12.2,16.4.12,1.7.10,26687
M,25.13.4,14.15.6,5.23.2,18.42.12,24.10.9,19220
M,26.32.4,14.24.6,8.53.2,22.32.12,16.44.9,25897
M,25.26.4,15.32.6,2.38.2,12.35.12,22.2.9,21260
M,25.13.4,14.14.6,5.26.2,18.48.12,24.7.9,23701
M,26.49.4,14.38.6,9.11.2,22.26.12,15.46.9,21801
M,25.24.4,15.28.6,2.44.2,12.53.12,22.19.9,25200
M,25.43.4,15.58.6,2.4.2,10.36.12,19.52.9,26839
M,26.16.4,16.32.6,1.35.2,7.36.12,15.14.9,21510
M,27.38.4,15.33.6,9.35.2,21.12.12,14.36.9,25903
